listing_id,price_eur,area_sqm,bedrooms,location,description,facts_reviewer,media_reviewer,review_notes,editor_path,review_status,issues,required_editor_fields,public_gallery_assets,public_gallery_sample,missing_alt_text_assets
MS-CRAWL-0038,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0038,needs_facts_review,missing_area,area_sqm,44,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава имение в района на гр. Сандански]|https://makler-realty.com/wp-content/uploads/2023/11/873-10-680x510.jpeg [alt: Продава имение в района на гр. Сандански]|https://makler-realty.com/wp-content/uploads/2023/11/873-10-72x72.jpeg [alt: Продава имение в района на гр. Сандански],0
MS-CRAWL-0039,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0039,needs_facts_review,missing_area,area_sqm,3,"https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава имот в м.Ранковец, гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/08/906-680x347.jpg [alt: Продава имот в м.Ранковец, гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/08/906-72x72.jpg [alt: Продава имот в м.Ранковец, гр.Сандански]",0
MS-CRAWL-0040,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0040,needs_facts_review,missing_area,area_sqm,3,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава имот в с.Ласкарево]|https://makler-realty.com/wp-content/uploads/2024/03/laskarevo-680x382.jpg [alt: Продава имот в с.Ласкарево]|https://makler-realty.com/wp-content/uploads/2024/03/laskarevo-72x72.jpg [alt: продава имот в с.Ласкарево],0
MS-CRAWL-0041,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0041,needs_facts_review,missing_area,area_sqm,7,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава имот в центъра на с.Левуново]|https://makler-realty.com/wp-content/uploads/2021/02/788-1-680x510.jpg [alt: Продава имот в центъра на с.Левуново]|https://makler-realty.com/wp-content/uploads/2021/02/788-1-72x72.jpg [alt: Продава имот в центъра на с.Левуново],0
MS-CRAWL-0042,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0042,needs_facts_review,missing_area,area_sqm,8,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава имот на гл.път Е79 в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2021/08/811-1-680x383.png [alt: Продава имот на гл.път Е79 в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2021/08/811-1-72x72.png [alt: Продава имот на гл.път Е79 в гр.Сандански],0
MS-CRAWL-0043,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0043,needs_facts_review,missing_area,area_sqm,16,"https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава къща в Гърция, Еретрия – Котрони]|https://makler-realty.com/wp-content/uploads/2024/04/987-5-680x510.jpg [alt: Продава къща в Гърция, Еретрия – Котрони]|https://makler-realty.com/wp-content/uploads/2024/04/987-8-72x72.jpg [alt: Eine exklusive dreistöckige Villa zum Verkauf in Eretria-Kotroni, Griechenland]",0
MS-CRAWL-0044,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0044,needs_facts_review,missing_area,area_sqm,5,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава къща в с. Кулата]|https://makler-realty.com/wp-content/uploads/2024/02/345-3-680x510.jpg [alt: Продава къща в с. Кулата]|https://makler-realty.com/wp-content/uploads/2024/02/345-1-72x72.jpg [alt: Продава къща в с. Кулата],0
MS-CRAWL-0045,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0045,needs_facts_review,missing_area,area_sqm,11,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава къща в с.Пирин]|https://makler-realty.com/wp-content/uploads/2025/09/908-1-1-680x510.jpg [alt: Продава къща в с.Пирин]|https://makler-realty.com/wp-content/uploads/2025/09/908-2-72x72.jpg [alt: продава къща в с.Пирин],0
MS-CRAWL-0046,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0046,needs_facts_review,missing_area,area_sqm,10,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава къща в с.Поленица]|https://makler-realty.com/wp-content/uploads/2026/03/PHOTO-2026-03-19-10-28-52_1-680x510.jpg [alt: Продава къща в с.Поленица]|https://makler-realty.com/wp-content/uploads/2026/03/PHOTO-2026-03-19-10-28-53_1-72x72.jpg [alt: Продава къща в с.Поленица],0
MS-CRAWL-0047,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0047,needs_facts_review,missing_area,area_sqm,9,"https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава къща в с. Спатово, община Сандански]|https://makler-realty.com/wp-content/uploads/2025/11/927-4-680x510.jpg [alt: Продава къща в с. Спатово, община Сандански]|https://makler-realty.com/wp-content/uploads/2025/11/927-1-72x72.jpg [alt: Продава къща в с. Спатово, община Сандански]",0
MS-CRAWL-0048,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0048,needs_facts_review,missing_area,area_sqm,16,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава къща в с.Цапарево]|https://makler-realty.com/wp-content/uploads/2025/08/904-2.jpg [alt: Продава къща в с.Цапарево]|https://makler-realty.com/wp-content/uploads/2025/08/904-2-72x72.jpg [alt: Продава къща в с.Цапарево],0
MS-CRAWL-0049,,,,,,,,Review public gallery: currently 1 public asset(s).,/admin/listings/edit?listingId=MS-CRAWL-0049,needs_facts_and_media_review,missing_area|thin_public_gallery,area_sqm|public_gallery,1,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава къща с двор в гр.Сандански],0
MS-CRAWL-0050,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0050,needs_facts_review,missing_area,area_sqm,11,"https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава мезонет в Халкидики, р-н Елани Сани]|https://makler-realty.com/wp-content/uploads/2024/01/100-1-680x510.jpg [alt: Продава мезонет в Халкидики, р-н Елани Сани]|https://makler-realty.com/wp-content/uploads/2024/01/100-1-72x72.jpg [alt: Продава мезонет в Халкидики, р-н Елани Сани]",0
