old_url,source_domain,url_type,source_h1,decision,target_path,reason,reviewer,approved_at
https://makler-realty.com/de/category-type/industrial-building/,makler-realty.com,taxonomy,Industriegebäude,301,/de/suche?property_family=commercial,property type archive,,
https://makler-realty.com/de/category-type/office-building/,makler-realty.com,taxonomy,Bürogebäude,301,/de/suche?property_family=commercial,property type archive,,
https://makler-realty.com/de/category-type/office/,makler-realty.com,taxonomy,Büro,301,/de/suche?property_family=commercial,property type archive,,
https://makler-realty.com/de/category-type/studio/,makler-realty.com,taxonomy,Studio,301,/de/suche?property_family=apartment,property type archive,,
https://makler-realty.com/de/category-type/villa/,makler-realty.com,taxonomy,Villa,301,/de/suche?property_family=house,property type archive,,
https://makler-realty.com/de/resort/%d0%bd%d0%b5%d0%b4%d0%b2%d0%b8%d0%b6%d0%b8%d0%bc%d0%be%d1%81%d1%82%d1%8c-%d0%b2-%d0%b1%d0%b0%d0%bd%d1%81%d0%ba%d0%be/,makler-realty.com,taxonomy,Bansko,410,,no location page for resort/недвижимость-в-банско,,
https://makler-realty.com/de/resort/%d0%bd%d0%b5%d0%b4%d0%b2%d0%b8%d0%b6%d0%b8%d0%bc%d0%be%d1%81%d1%82%d1%8c-%d0%b2-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,makler-realty.com,taxonomy,Sandanski,301,/de/orte/sandanski,resort archive with inventory,,
https://makler-realty.com/de/resort/%d0%bd%d0%b5%d0%b4%d0%b2%d0%b8%d0%b6%d0%b8%d0%bc%d0%be%d1%81%d1%82%d1%8c-%d1%81%d0%b2%d1%8f%d1%82%d0%be%d0%b9-%d0%b2%d0%bb%d0%b0%d1%81/,makler-realty.com,taxonomy,,410,,no location page for resort/недвижимость-святой-влас,,
https://makler-realty.com/de/resort/nafplio/,makler-realty.com,taxonomy,Nafplio,410,,no location page for resort/nafplio,,
https://makler-realty.com/de/services/,makler-realty.com,page,DIENSTLEISTUNGEN,410,,no localized route for this URL,,
https://makler-realty.com/de/transfer-thessaloniki-bansko/,makler-realty.com,page,,410,,no localized route for this URL,,
https://makler-realty.com/en,makler-realty.com,page,Real estate in Bulgaria,410,,no localized route for this URL,,
https://makler-realty.com/en/,makler-realty.com,page,Real estate in Bulgaria,410,,no localized route for this URL,,
https://makler-realty.com/en/%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0-%D0%B7%D0%B0-%D0%B7%D0%B0%D1%89%D0%B8%D1%82%D0%B0-%D0%BD%D0%B0-%D0%BB%D0%B8%D1%87%D0%BD%D0%B8%D1%82%D0%B5-%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/,makler-realty.com,page,Privacy Policy of MS Realty,410,,no localized route for this URL,,
https://makler-realty.com/en/%d0%b3%d0%bb%d0%b0%d0%b2%d0%bd%d0%b0%d1%8f/,makler-realty.com,page,Real estate in Bulgaria,410,,no localized route for this URL,,
https://makler-realty.com/en/%d0%ba%d0%be%d0%bd%d1%82%d0%b0%d0%ba%d1%82%d0%b8/,makler-realty.com,page,Contacts / Imprint,410,,no localized route for this URL,,
https://makler-realty.com/en/%d0%bd%d0%b5%d0%b4%d0%b2%d0%b8%d0%b6%d0%b8%d0%bc%d0%be%d1%81%d1%82%d1%8c-%d1%81%d0%be%d0%bb%d0%bd%d0%b5%d1%87%d0%bd%d1%8b%d0%b9-%d0%b1%d0%b5%d1%80%d0%b5%d0%b3/,makler-realty.com,page,,410,,no localized route for this URL,,
https://makler-realty.com/en/%d0%be%d0%bd%d0%bb%d0%b0%d0%b9%d0%bd-%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-%d1%85%d0%b8%d0%b6%d0%b0-%d0%b1%d0%b5%d0%b3%d0%be%d0%b2%d0%b8%d1%86%d0%b0/,makler-realty.com,page,Online camera Begovitsa,410,,no localized route for this URL,,
